nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
15,0,0,0,0,595,480,0,0,0,0
0,0,0,0,0,600,479,0,0,0,0
1,0,0,0,0,605,477,0,0,0,0
2,0,0,0,0,611,476,0,0,0,0
3,0,0,0,0,615,476,0,0,0,0
4,0,0,0,0,621,476,0,0,0,0
5,0,0,0,0,625,475,0,0,0,0
6,0,0,0,0,631,475,0,0,0,0
7,0,0,0,0,636,474,0,0,0,0
8,0,0,0,0,640,474,0,0,0,0
9,0,0,0,0,646,473,0,0,0,0
10,0,0,0,0,651,473,0,0,0,0
11,0,0,0,0,656,473,0,0,0,0
12,0,0,0,0,661,473,0,0,0,0
13,0,0,0,0,666,473,0,0,0,0
14,0,0,0,0,671,473,0,0,0,0
15,0,0,0,0,676,473,0,0,0,0
0,0,0,0,0,680,473,0,0,0,0
1,0,0,0,0,685,473,0,0,0,0
2,0,0,0,0,690,472,0,0,0,0
3,0,0,0,0,695,472,0,0,0,0
4,0,0,0,0,699,473,0,0,0,0
5,0,0,0,0,704,473,0,0,0,0
6,0,0,0,0,708,473,0,0,0,0
7,0,0,0,0,712,474,0,0,0,0
8,0,0,0,0,717,475,0,0,0,0
9,0,0,0,0,720,475,0,0,0,0
10,0,0,0,0,725,476,0,0,0,0
11,0,0,0,0,728,477,0,0,0,0
12,0,0,0,0,733,478,0,0,0,0
13,0,0,0,0,736,479,0,0,0,0
14,0,0,0,0,740,480,0,0,0,0
15,0,0,0,0,744,481,0,0,0,0
0,0,0,0,0,747,482,0,0,0,0
1,0,0,0,0,751,483,0,0,0,0
2,0,0,0,0,754,485,0,0,0,0
3,0,0,0,0,757,486,0,0,0,0
4,0,0,0,0,761,488,0,0,0,0
5,0,0,0,0,764,489,0,0,0,0
6,0,0,0,0,766,490,0,0,0,0
7,0,0,0,0,769,490,0,0,0,0
8,0,0,0,0,771,491,0,0,0,0
9,0,0,0,0,775,493,0,0,0,0
10,0,0,0,0,776,495,0,0,0,0
11,0,0,0,0,779,497,0,0,0,0
12,0,0,0,0,781,499,0,0,0,0
13,0,0,0,0,783,500,0,0,0,0
14,0,0,0,0,784,501,0,0,0,0
15,0,0,0,0,786,502,0,0,0,0
0,0,0,0,0,787,502,0,0,0,0
1,0,0,0,0,789,503,0,0,0,0
2,0,0,0,0,789,504,0,0,0,0
3,0,0,0,0,791,505,0,0,0,0
4,0,0,0,0,791,507,0,0,0,0
5,0,0,0,0,792,508,0,0,0,0
6,0,0,0,0,793,510,0,0,0,0
7,0,0,0,0,794,511,0,0,0,0
8,0,0,0,0,795,513,0,0,0,0
9,0,0,0,0,795,515,0,0,0,0
10,0,0,0,0,795,515,0,0,0,0
11,0,0,0,0,796,516,0,0,0,0
12,0,0,0,0,795,517,0,0,0,0
13,0,0,0,0,795,518,0,0,0,0
14,0,0,0,0,795,519,0,0,0,0
15,0,0,0,0,794,520,0,0,0,0
0,0,0,0,0,794,521,0,0,0,0
1,0,0,0,0,794,521,0,0,0,0
2,0,0,0,0,792,522,0,0,0,0
3,0,0,0,0,792,524,0,0,0,0
4,0,0,0,0,791,526,0,0,0,0
5,0,0,0,0,790,527,0,0,0,0
6,0,0,0,0,789,527,0,0,0,0
7,0,0,0,0,787,527,0,0,0,0
8,0,0,0,0,786,528,0,0,0,0
9,0,0,0,0,785,528,0,0,0,0
10,0,0,0,0,783,529,0,0,0,0
11,0,0,0,0,781,529,0,0,0,0
12,0,0,0,0,780,531,0,0,0,0
13,0,0,0,0,778,531,0,0,0,0
14,0,0,0,0,775,531,0,0,0,0
15,0,0,0,0,774,531,0,0,0,0
0,0,0,0,0,771,530,0,0,0,0
1,0,0,0,0,769,531,0,0,0,0
2,0,0,0,0,767,532,0,0,0,0
3,0,0,0,0,764,533,0,0,0,0
4,0,0,0,0,762,534,0,0,0,0
5,0,0,0,0,760,533,0,0,0,0
6,0,0,0,0,757,533,0,0,0,0
7,0,0,0,0,754,532,0,0,0,0
8,0,0,0,0,751,532,0,0,0,0
9,0,0,0,0,748,531,0,0,0,0
10,0,0,0,0,745,531,0,0,0,0
11,0,0,0,0,743,531,0,0,0,0
12,0,0,0,0,739,532,0,0,0,0
